Asset_Name,Property_ID,Uniformat_Category,Component_Type,Correction_Work_Type,Fiscal_Year,Correction_Cost,API,Current_FCI,Projected_FCI,Current_RSL,Projected_RSL,Quantity,UoM,Assessment_Method,Last_Inspected_Rating,Assessor_Comments,CAIS_Asset_ID,Section_ID
Research Facility 1109031,1109031,Roofing Systems,High-Voltage Switchgear,Replace System,2031,650472.0,97,0.7961,0.7335,21,11,1342,KV,Direct Visual,61,Synthetic DOE Assessor Comment,CAIS-867,SEC-5
Research Facility 1109031,1109031,Foundations & Substructure,EPDM Membrane Roof,Repair Deficiency,2028,27038.0,100,0.6816,0.5604,-3,-4,4052,EA,Direct Visual,61,Synthetic DOE Assessor Comment,CAIS-736,SEC-2
Research Facility 1109031,1109031,Superstructure & Walls,High-Performance Glazing,Replace System,2028,141682.0,73,0.785,0.8173,8,24,4199,LF,Direct Visual,70,Synthetic DOE Assessor Comment,CAIS-720,SEC-5
Research Facility 1109031,1109031,HVAC & Mechanical,Air Handling Unit,Repair Deficiency,2029,625594.0,40,0.8243,0.6358,1,-4,5112,KV,Direct Visual,85,Synthetic DOE Assessor Comment,CAIS-832,SEC-2
Research Facility 1109031,1109031,Foundations & Substructure,Chilled Water Loop,Sustainment Paint,2030,121676.0,14,0.7833,0.3754,14,2,9273,SF,Direct Visual,82,Synthetic DOE Assessor Comment,CAIS-645,SEC-4
Research Facility 1109031,1109031,HVAC & Mechanical,EPDM Membrane Roof,Repair Deficiency,2035,550207.0,83,0.3734,0.3214,16,-5,6883,KV,Direct Visual,66,Synthetic DOE Assessor Comment,CAIS-543,SEC-3
Research Facility 1109031,1109031,HVAC & Mechanical,High-Voltage Switchgear,Replace System,2029,124596.0,56,0.5138,0.6458,6,28,4426,KV,Direct Visual,89,Synthetic DOE Assessor Comment,CAIS-546,SEC-5
Research Facility 1109031,1109031,Roofing Systems,EPDM Membrane Roof,Repair Deficiency,2028,413857.0,36,0.3947,0.711,23,10,7614,KV,Direct Visual,81,Synthetic DOE Assessor Comment,CAIS-129,SEC-4
Research Facility 1538552,1538552,Superstructure & Walls,Epoxy Floor Coating,Repair Deficiency,2032,200786.0,34,0.8138,0.4556,16,12,9768,LF,Direct Visual,95,Synthetic DOE Assessor Comment,CAIS-110,SEC-5
Research Facility 1538552,1538552,Superstructure & Walls,Reinforced Concrete Repair,Repair Deficiency,2033,327267.0,63,0.7072,0.7725,30,10,7801,KV,Direct Visual,88,Synthetic DOE Assessor Comment,CAIS-911,SEC-1
