FIMS_Record_ID,City,State,Property_ID,Asset_Name,Asset_Description,Site_Name,Site_Code,Facility_Class_Code,Asset_Type,Interest_Type,Operational_Status,FIMS_Status,Acquisition_Date,Acquisition_Method,RPV,Construction_Type,WBS_Element,Space_ID,Space_Name,Category_Code,FAC_Code,Primary_UOM,Primary_Qty,Secondary_UOM,Secondary_Qty,Build_Date,Placed_in_Service_Date,Sustainment_Fund_Code,Sustainment_Org,Shared_Use_Code,User_Org_Code,City_and_State,Form_Label
62581,Los Alamos,Washington,1109031,Research Facility 1,Synthetic experimental test asset 1,Los Alamos National Lab,DOE-620,FC5669,Building,FEE,Active,Reportable,1-Jan-80,Constructed,61755036,PERM,WBS-2.05.02,001,Lab Suite 01,805612,2630,GSF,45397,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST2,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
45093,Richland,California,1538552,Research Facility 2,Synthetic experimental test asset 2,Hanford Site,DOE-182,FC3584,Building,FEE,Active,Reportable,1-Jan-80,Constructed,132521863,PERM,WBS-2.05.01,001,Lab Suite 01,240679,4948,GSF,96387,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
18675,Oak Ridge,Washington,1728977,Research Facility 3,Synthetic experimental test asset 3,Los Alamos National Lab,DOE-971,FC8179,Building,FEE,Active,Reportable,1-Jan-80,Constructed,138224038,PERM,WBS-2.05.01,001,Lab Suite 01,864717,6185,GSF,6016,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
37653,Sandia,Illinois,1768805,Research Facility 4,Synthetic experimental test asset 4,Lawrence Livermore National Lab,DOE-290,FC9900,Building,FEE,Active,Reportable,1-Jan-80,Constructed,40788921,PERM,WBS-4.04.01,001,Lab Suite 01,424910,4780,GSF,225861,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST4,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
84341,Sandia,Washington,1938483,Research Facility 5,Synthetic experimental test asset 5,Hanford Site,DOE-170,FC5956,Building,FEE,Active,Reportable,1-Jan-80,Constructed,138120466,PERM,WBS-1.10.01,001,Lab Suite 01,641756,4362,GSF,60591,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
51245,Livermore,Tennessee,2166941,Research Facility 6,Synthetic experimental test asset 6,Los Alamos National Lab,DOE-709,FC9666,Building,FEE,Active,Reportable,1-Jan-80,Constructed,98410762,PERM,WBS-2.05.01,001,Lab Suite 01,434308,3514,GSF,225884,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST3,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
37869,Argonne,New Mexico,2197935,Research Facility 7,Synthetic experimental test asset 7,Y-12 National Security Complex,DOE-169,FC1128,Building,FEE,Active,Reportable,1-Jan-80,Constructed,96090292,PERM,WBS-3.02.04,001,Lab Suite 01,809287,1500,GSF,28247,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST4,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
95909,Los Alamos,New Mexico,2322047,Research Facility 8,Synthetic experimental test asset 8,Hanford Site,DOE-791,FC5905,Building,FEE,Active,Reportable,1-Jan-80,Constructed,81737383,PERM,WBS-4.04.01,001,Lab Suite 01,538231,1857,GSF,29300,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST2,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
75435,Argonne,Tennessee,2338687,Research Facility 9,Synthetic experimental test asset 9,Argonne National Lab,DOE-982,FC2697,Building,FEE,Active,Reportable,1-Jan-80,Constructed,93358551,PERM,WBS-2.05.02,001,Lab Suite 01,452027,5111,GSF,210137,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
61856,Oak Ridge,California,2556017,Research Facility 10,Synthetic experimental test asset 10,Y-12 National Security Complex,DOE-340,FC3200,Building,FEE,Active,Reportable,1-Jan-80,Constructed,116190146,PERM,WBS-3.01.01,001,Lab Suite 01,531947,8884,GSF,87798,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
94259,Sandia,Tennessee,2622631,Research Facility 11,Synthetic experimental test asset 11,Y-12 National Security Complex,DOE-513,FC5333,Building,FEE,Active,Reportable,1-Jan-80,Constructed,93409749,PERM,WBS-2.05.01,001,Lab Suite 01,841076,2293,GSF,14268,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST6,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
70142,Livermore,Illinois,2694522,Research Facility 12,Synthetic experimental test asset 12,Sandia National Lab,DOE-222,FC2891,Building,FEE,Active,Reportable,1-Jan-80,Constructed,144199233,PERM,WBS-1.10.02,001,Lab Suite 01,420016,8561,GSF,91807,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST9,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
28726,Sandia,Illinois,2714803,Research Facility 13,Synthetic experimental test asset 13,Argonne National Lab,DOE-683,FC2753,Building,FEE,Active,Reportable,1-Jan-80,Constructed,90652971,PERM,WBS-4.04.01,001,Lab Suite 01,691343,7890,GSF,17185,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST8,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
44718,Argonne,New Mexico,3094235,Research Facility 14,Synthetic experimental test asset 14,Y-12 National Security Complex,DOE-352,FC3546,Building,FEE,Active,Reportable,1-Jan-80,Constructed,9521373,PERM,WBS-1.10.01,001,Lab Suite 01,243470,4285,GSF,199776,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST7,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
28301,Argonne,Illinois,3608513,Research Facility 15,Synthetic experimental test asset 15,Y-12 National Security Complex,DOE-692,FC5462,Building,FEE,Active,Reportable,1-Jan-80,Constructed,111683173,PERM,WBS-4.04.02,001,Lab Suite 01,311158,7391,GSF,222851,PN,0,1-Jan-80,1-Jan-80,DOE-NNSA-ST1,NNSA-NA50,P,NNSA,"FakeCity, FakeState",Building
