WBS_Element,Property_ID,Correction_Cost_10YR
WBS-1.10.01,1938483,2219999.0
WBS-1.10.01,3094235,290834.0
WBS-1.10.01,4684531,3147541.0
WBS-1.10.01,5667265,2688913.0
WBS-1.10.01,6647119,2240317.0
WBS-1.10.01,7374122,2435624.0
WBS-1.10.01,8090293,939827.0
WBS-1.10.02,2694522,1707590.0
WBS-1.10.02,5437923,1520519.0
WBS-1.10.02,5855124,2895298.0
WBS-1.10.02,6708456,2336362.0
WBS-1.10.02,7120868,2113286.0
WBS-1.10.02,8755439,4004887.0
WBS-2.05.01,1538552,3166573.0
WBS-2.05.01,1728977,1400232.0
WBS-2.05.01,2166941,2009542.0
WBS-2.05.01,2622631,2258498.0
WBS-2.05.01,6292423,2787047.0
WBS-2.05.02,1109031,2655122.0
WBS-2.05.02,2338687,2205198.0
WBS-2.05.02,3678638,2505343.0
WBS-2.05.02,3728882,1447806.0
WBS-2.05.02,4514944,2434218.0
WBS-2.05.02,4612365,3832960.0
WBS-2.05.02,4823498,2059228.0
WBS-2.05.02,7350753,4278470.0
WBS-2.05.02,8536477,2181821.0
WBS-3.01.01,2556017,2299350.0
WBS-3.01.01,4226067,2745552.0
WBS-3.01.01,5107245,1438448.0
WBS-3.01.01,5479144,1028839.0
WBS-3.01.01,5918715,2278299.0
WBS-3.01.01,6440561,2344345.0
WBS-3.01.01,7366205,1459690.0
WBS-3.02.04,2197935,1863562.0
WBS-3.02.04,3871230,937784.0
WBS-3.02.04,4905582,2874164.0
WBS-3.02.04,5528972,4115565.0
WBS-3.02.04,5663623,2071204.0
WBS-3.02.04,6960453,2613855.0
WBS-3.02.04,7022674,1790381.0
WBS-3.02.04,8606962,1715136.0
WBS-3.02.04,9961380,4049442.0
WBS-3.02.04,9996414,2401818.0
WBS-4.04.01,1768805,2762613.0
WBS-4.04.01,2322047,3168677.0
WBS-4.04.01,2714803,1790273.0
WBS-4.04.01,4842788,2586308.0
WBS-4.04.01,5661907,1794390.0
WBS-4.04.01,6770619,2870202.0
WBS-4.04.01,7067228,2241531.0
WBS-4.04.01,7210606,1833420.0
WBS-4.04.01,7377459,1696541.0
WBS-4.04.01,8707870,2312127.0
WBS-4.04.02,3608513,1515418.0
WBS-4.04.02,3741438,1283626.0
